Ethnicity,Gender,Is Disabled,Age,AgeCategory,LastPromotionDate,Count,Amount
Two or more races                            ,F,0,80,70,2022-03-09 00:00:00 ,1,2
Two or more races                            ,F,0,80,70,2022-03-09 00:00:00 ,1,2
Two or more races                            ,F,0,80,70,2022-03-09 00:00:00 ,1,2
Two or more races                            ,F,0,80,70,2022-03-09 00:00:00 ,1,2
Two or more races                            ,F,0,80,70,2022-03-09 00:00:00 ,1,2
Two or more races                            ,F,0,80,70,2022-03-09 00:00:00 ,1,2
Two or more races                            ,M,0,50,50,2014-08-14 00:00:00 ,1,2
Two or more races                            ,M,0,50,50,2014-08-14 00:00:00 ,1,2
Two or more races                            ,M,0,50,50,2014-08-14 00:00:00 ,1,2
Two or more races                            ,M,0,50,50,2014-08-14 00:00:00 ,1,2
Two or more races                            ,M,0,50,50,2014-08-14 00:00:00 ,1,2
Two or more races                            ,M,0,50,50,2014-08-14 00:00:00 ,1,2
Two or more races                            ,M,0,58,60,2017-02-08 00:00:00 ,1,2
Two or more races                            ,M,0,58,60,2017-02-08 00:00:00 ,1,2
Two or more races                            ,M,0,58,60,2017-02-08 00:00:00 ,1,2
Two or more races                            ,M,0,58,60,2017-02-08 00:00:00 ,1,2
Two or more races                            ,M,0,58,60,2017-02-08 00:00:00 ,1,2
Two or more races                            ,M,0,58,60,2017-02-08 00:00:00 ,1,2
White                                        ,3,0,65,70,2017-02-08 00:00:00 ,1,1
White                                        ,3,0,65,70,2017-02-08 00:00:00 ,1,1
White                                        ,3,0,65,70,2017-02-08 00:00:00 ,1,1
White                                        ,3,0,65,70,2017-02-08 00:00:00 ,1,1
White                                        ,3,0,65,70,2017-02-08 00:00:00 ,1,1
White                                        ,F,0,26,30,2020-12-20 00:00:00 ,1,1
White                                        ,F,0,26,30,2020-12-20 00:00:00 ,1,1
White                                        ,F,0,26,30,2020-12-20 00:00:00 ,1,1
White                                        ,F,0,26,30,2020-12-20 00:00:00 ,1,1
White                                        ,F,0,26,30,2020-12-20 00:00:00 ,1,1
White                                        ,F,0,26,30,2020-12-20 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-02-01 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-02-01 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-02-01 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-02-01 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-02-01 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-02-01 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,29,30,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,32,40,2017-03-21 00:00:00 ,1,1
White                                        ,F,0,32,40,2017-03-21 00:00:00 ,1,1
White                                        ,F,0,32,40,2017-03-21 00:00:00 ,1,1
White                                        ,F,0,32,40,2017-03-21 00:00:00 ,1,1
White                                        ,F,0,32,40,2017-03-21 00:00:00 ,1,1
White                                        ,F,0,32,40,2017-03-21 00:00:00 ,1,1
White                                        ,F,0,34,40,2018-03-09 00:00:00 ,1,3
White                                        ,F,0,34,40,2018-03-09 00:00:00 ,1,3
White                                        ,F,0,34,40,2018-03-09 00:00:00 ,1,3
White                                        ,F,0,34,40,2018-03-09 00:00:00 ,1,3
White                                        ,F,0,34,40,2018-03-09 00:00:00 ,1,3
White                                        ,F,0,34,40,2018-03-09 00:00:00 ,1,3
White                                        ,F,0,35,40,2018-01-17 00:00:00 ,1,1
White                                        ,F,0,35,40,2018-01-17 00:00:00 ,1,1
White                                        ,F,0,35,40,2018-01-17 00:00:00 ,1,1
White                                        ,F,0,35,40,2018-01-17 00:00:00 ,1,1
White                                        ,F,0,35,40,2018-01-17 00:00:00 ,1,1
White                                        ,F,0,35,40,2018-01-17 00:00:00 ,1,1
White                                        ,F,0,35,40,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,35,40,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,35,40,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,35,40,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,35,40,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,35,40,2022-04-03 00:00:00 ,1,1
White                                        ,F,0,37,40,2017-04-30 00:00:00 ,1,5
