Ethnicity,Gender,Is Disabled,Age,AgeCategory,LastRaiseDate,Count,Amount
American Indian/Alaskan Native               ,F,0,52,60,2014-02-02 00:00:00 ,1,3
American Indian/Alaskan Native               ,F,0,52,60,2014-02-02 00:00:00 ,1,3
American Indian/Alaskan Native               ,F,0,52,60,2014-02-02 00:00:00 ,1,3
American Indian/Alaskan Native               ,F,0,52,60,2014-02-02 00:00:00 ,1,3
American Indian/Alaskan Native               ,F,0,52,60,2014-02-02 00:00:00 ,1,3
American Indian/Alaskan Native               ,F,0,52,60,2014-02-02 00:00:00 ,1,3
American Indian/Alaskan Native               ,M,0,66,70,2006-06-15 00:00:00 ,1,2
American Indian/Alaskan Native               ,M,0,66,70,2006-06-15 00:00:00 ,1,2
American Indian/Alaskan Native               ,M,0,66,70,2006-06-15 00:00:00 ,1,2
American Indian/Alaskan Native               ,M,0,66,70,2006-06-15 00:00:00 ,1,2
American Indian/Alaskan Native               ,M,0,66,70,2006-06-15 00:00:00 ,1,2
American Indian/Alaskan Native               ,M,0,66,70,2006-06-15 00:00:00 ,1,2
Asian                                        ,F,0,27,30,2019-11-01 00:00:00 ,1,2
Asian                                        ,F,0,27,30,2019-11-01 00:00:00 ,1,2
Asian                                        ,F,0,27,30,2019-11-01 00:00:00 ,1,2
Asian                                        ,F,0,27,30,2019-11-01 00:00:00 ,1,2
Asian                                        ,F,0,27,30,2019-11-01 00:00:00 ,1,2
Asian                                        ,F,0,27,30,2019-11-01 00:00:00 ,1,2
Asian                                        ,F,0,27,30,2021-10-31 00:00:00 ,1,1
Asian                                        ,F,0,27,30,2021-10-31 00:00:00 ,1,1
Asian                                        ,F,0,27,30,2021-10-31 00:00:00 ,1,1
Asian                                        ,F,0,27,30,2021-10-31 00:00:00 ,1,1
Asian                                        ,F,0,27,30,2021-10-31 00:00:00 ,1,1
Asian                                        ,F,0,27,30,2021-10-31 00:00:00 ,1,1
Asian                                        ,F,0,28,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,28,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,28,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,28,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,28,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,28,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,30,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,30,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,30,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,30,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,30,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,30,30,2017-01-30 00:00:00 ,1,1
Asian                                        ,F,0,35,40,2018-02-12 00:00:00 ,1,1
Asian                                        ,F,0,35,40,2018-02-12 00:00:00 ,1,1
Asian                                        ,F,0,35,40,2018-02-12 00:00:00 ,1,1
Asian                                        ,F,0,35,40,2018-02-12 00:00:00 ,1,1
Asian                                        ,F,0,35,40,2018-02-12 00:00:00 ,1,1
Asian                                        ,F,0,35,40,2018-02-12 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2013-09-03 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2013-09-03 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2013-09-03 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2013-09-03 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2013-09-03 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2013-09-03 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2017-04-14 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2017-04-14 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2017-04-14 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2017-04-14 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2017-04-14 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2017-04-14 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2021-09-15 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2021-09-15 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2021-09-15 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2021-09-15 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2021-09-15 00:00:00 ,1,1
Asian                                        ,F,0,37,40,2021-09-15 00:00:00 ,1,1
Asian                                        ,F,0,41,50,2021-08-01 00:00:00 ,1,1
Asian                                        ,F,0,41,50,2021-08-01 00:00:00 ,1,1
Asian                                        ,F,0,41,50,2021-08-01 00:00:00 ,1,1
Asian                                        ,F,0,41,50,2021-08-01 00:00:00 ,1,1
Asian                                        ,F,0,41,50,2021-08-01 00:00:00 ,1,1
Asian                                        ,F,0,41,50,2021-08-01 00:00:00 ,1,1
Asian                                        ,F,0,42,50,2012-11-14 00:00:00 ,1,4
Asian                                        ,F,0,42,50,2012-11-14 00:00:00 ,1,4
Asian                                        ,F,0,42,50,2012-11-14 00:00:00 ,1,4
Asian                                        ,F,0,42,50,2012-11-14 00:00:00 ,1,4
Asian                                        ,F,0,42,50,2012-11-14 00:00:00 ,1,4
Asian                                        ,F,0,42,50,2012-11-14 00:00:00 ,1,4
Asian                                        ,F,0,43,50,2021-07-01 00:00:00 ,1,1
Asian                                        ,F,0,43,50,2021-07-01 00:00:00 ,1,1
Asian                                        ,F,0,43,50,2021-07-01 00:00:00 ,1,1
Asian                                        ,F,0,43,50,2021-07-01 00:00:00 ,1,1
Asian                                        ,F,0,43,50,2021-07-01 00:00:00 ,1,1
Asian                                        ,F,0,43,50,2021-07-01 00:00:00 ,1,1
Asian                                        ,F,0,45,50,2013-12-06 00:00:00 ,1,4
Asian                                        ,F,0,45,50,2013-12-06 00:00:00 ,1,4
Asian                                        ,F,0,45,50,2013-12-06 00:00:00 ,1,4
Asian                                        ,F,0,45,50,2013-12-06 00:00:00 ,1,4
Asian                                        ,F,0,45,50,2013-12-06 00:00:00 ,1,4
Asian                                        ,F,0,45,50,2013-12-06 00:00:00 ,1,4
Asian                                        ,F,0,47,50,2008-02-05 00:00:00 ,1,9
Asian                                        ,F,0,47,50,2008-02-05 00:00:00 ,1,9
Asian                                        ,F,0,47,50,2008-02-05 00:00:00 ,1,9
Asian                                        ,F,0,47,50,2008-02-05 00:00:00 ,1,9
Asian                                        ,F,0,47,50,2008-02-05 00:00:00 ,1,9
Asian                                        ,F,0,47,50,2008-02-05 00:00:00 ,1,9
Asian                                        ,F,0,47,50,2019-01-16 00:00:00 ,1,2
Asian                                        ,F,0,47,50,2019-01-16 00:00:00 ,1,2
Asian                                        ,F,0,47,50,2019-01-16 00:00:00 ,1,2
Asian                                        ,F,0,47,50,2019-01-16 00:00:00 ,1,2
Asian                                        ,F,0,47,50,2019-01-16 00:00:00 ,1,2
Asian                                        ,F,0,47,50,2019-01-16 00:00:00 ,1,2
Asian                                        ,F,0,52,60,2011-01-24 00:00:00 ,1,8
Asian                                        ,F,0,52,60,2011-01-24 00:00:00 ,1,8
Asian                                        ,F,0,52,60,2011-01-24 00:00:00 ,1,8
Asian                                        ,F,0,52,60,2011-01-24 00:00:00 ,1,8
Asian                                        ,F,0,52,60,2011-01-24 00:00:00 ,1,8
Asian                                        ,F,0,52,60,2011-01-24 00:00:00 ,1,8
Asian                                        ,F,0,54,60,2017-04-14 00:00:00 ,1,2
Asian                                        ,F,0,54,60,2017-04-14 00:00:00 ,1,2
Asian                                        ,F,0,54,60,2017-04-14 00:00:00 ,1,2
Asian                                        ,F,0,54,60,2017-04-14 00:00:00 ,1,2
Asian                                        ,F,0,54,60,2017-04-14 00:00:00 ,1,2
Asian                                        ,F,0,54,60,2017-04-14 00:00:00 ,1,2
Asian                                        ,F,0,56,60,2012-01-12 00:00:00 ,1,7
Asian                                        ,F,0,56,60,2012-01-12 00:00:00 ,1,7
Asian                                        ,F,0,56,60,2012-01-12 00:00:00 ,1,7
Asian                                        ,F,0,56,60,2012-01-12 00:00:00 ,1,7
Asian                                        ,F,0,56,60,2012-01-12 00:00:00 ,1,7
Asian                                        ,F,0,56,60,2012-01-12 00:00:00 ,1,7
Asian                                        ,F,0,57,60,2017-01-31 00:00:00 ,1,2
Asian                                        ,F,0,57,60,2017-01-31 00:00:00 ,1,2
Asian                                        ,F,0,57,60,2017-01-31 00:00:00 ,1,2
Asian                                        ,F,0,57,60,2017-01-31 00:00:00 ,1,2
Asian                                        ,F,0,57,60,2017-01-31 00:00:00 ,1,2
Asian                                        ,F,0,57,60,2017-01-31 00:00:00 ,1,2
Asian                                        ,F,0,59,60,2019-08-25 00:00:00 ,1,2
Asian                                        ,F,0,59,60,2019-08-25 00:00:00 ,1,2
Asian                                        ,F,0,59,60,2019-08-25 00:00:00 ,1,2
Asian                                        ,F,0,59,60,2019-08-25 00:00:00 ,1,2
Asian                                        ,F,0,59,60,2019-08-25 00:00:00 ,1,2
Asian                                        ,F,0,59,60,2019-08-25 00:00:00 ,1,2
Asian                                        ,F,0,67,70,2011-11-04 00:00:00 ,1,2
Asian                                        ,F,0,67,70,2011-11-04 00:00:00 ,1,2
Asian                                        ,F,0,67,70,2011-11-04 00:00:00 ,1,2
Asian                                        ,F,0,67,70,2011-11-04 00:00:00 ,1,2
Asian                                        ,F,0,67,70,2011-11-04 00:00:00 ,1,2
Asian                                        ,F,0,67,70,2011-11-04 00:00:00 ,1,2
Asian                                        ,F,0,70,70,2005-01-11 00:00:00 ,1,3
Asian                                        ,F,0,70,70,2005-01-11 00:00:00 ,1,3
Asian                                        ,F,0,70,70,2005-01-11 00:00:00 ,1,3
Asian                                        ,F,0,70,70,2005-01-11 00:00:00 ,1,3
Asian                                        ,F,0,70,70,2005-01-11 00:00:00 ,1,3
Asian                                        ,F,0,70,70,2005-01-11 00:00:00 ,1,3
Asian                                        ,F,0,73,70,2016-09-08 00:00:00 ,1,1
Asian                                        ,F,0,73,70,2016-09-08 00:00:00 ,1,1
Asian                                        ,F,0,73,70,2016-09-08 00:00:00 ,1,1
Asian                                        ,F,0,73,70,2016-09-08 00:00:00 ,1,1
Asian                                        ,F,0,73,70,2016-09-08 00:00:00 ,1,1
Asian                                        ,F,0,73,70,2016-09-08 00:00:00 ,1,1
Asian                                        ,F,0,77,70,2008-03-06 00:00:00 ,1,3
Asian                                        ,F,0,77,70,2008-03-06 00:00:00 ,1,3
Asian                                        ,F,0,77,70,2008-03-06 00:00:00 ,1,3
Asian                                        ,F,0,77,70,2008-03-06 00:00:00 ,1,3
Asian                                        ,F,0,77,70,2008-03-06 00:00:00 ,1,3
Asian                                        ,F,0,77,70,2008-03-06 00:00:00 ,1,3
Asian                                        ,M,0,32,40,2021-07-01 00:00:00 ,1,2
Asian                                        ,M,0,32,40,2021-07-01 00:00:00 ,1,2
Asian                                        ,M,0,32,40,2021-07-01 00:00:00 ,1,2
Asian                                        ,M,0,32,40,2021-07-01 00:00:00 ,1,2
Asian                                        ,M,0,32,40,2021-07-01 00:00:00 ,1,2
Asian                                        ,M,0,32,40,2021-07-01 00:00:00 ,1,2
Asian                                        ,M,0,32,40,2021-08-15 00:00:00 ,1,1
Asian                                        ,M,0,32,40,2021-08-15 00:00:00 ,1,1
Asian                                        ,M,0,32,40,2021-08-15 00:00:00 ,1,1
Asian                                        ,M,0,32,40,2021-08-15 00:00:00 ,1,1
