Ethnicity,Gender,IsDisabled,Age,AgeCategory,EmployeeStatus,Date,Count
American Indian/Alaskan Native               ,F,0,52,60,A,2011-09-13 00:00:00,1
American Indian/Alaskan Native               ,F,0,52,60,A,2011-09-13 00:00:00,2
American Indian/Alaskan Native               ,F,0,54,60,A,2020-11-25 00:00:00,1
American Indian/Alaskan Native               ,F,0,54,60,A,2020-11-25 00:00:00,3
American Indian/Alaskan Native               ,F,0,66,70,A,2013-02-01 00:00:00,1
American Indian/Alaskan Native               ,F,0,66,70,A,2013-02-01 00:00:00,4
American Indian/Alaskan Native               ,F,1,26,30,A,2021-12-16 00:00:00,1
American Indian/Alaskan Native               ,F,1,26,30,A,2021-12-16 00:00:00,1
American Indian/Alaskan Native               ,M,0,23,30,A,2019-05-03 00:00:00,1
American Indian/Alaskan Native               ,M,0,23,30,A,2019-05-03 00:00:00,2
American Indian/Alaskan Native               ,M,1,56,60,A,2021-10-05 00:00:00,1
American Indian/Alaskan Native               ,M,1,56,60,A,2021-10-05 00:00:00,1
Asian                                        ,F,0,22,30,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,25,30,A,2020-01-28 00:00:00,1
Asian                                        ,F,0,25,30,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,26,30,A,2020-12-01 00:00:00,1
Asian                                        ,F,0,26,30,T,2022-01-02 00:00:00,1
Asian                                        ,F,0,27,30,A,2019-08-08 00:00:00,1
Asian                                        ,F,0,27,30,A,2021-08-24 00:00:00,1
Asian                                        ,F,0,28,30,T,2021-06-10 00:00:00,1
Asian                                        ,F,0,29,30,T,2021-03-18 00:00:00,1
Asian                                        ,F,0,30,30,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,32,40,A,2021-12-15 00:00:00,1
Asian                                        ,F,0,32,40,A,2022-03-04 00:00:00,1
Asian                                        ,F,0,32,40,A,2022-04-19 00:00:00,1
Asian                                        ,F,0,34,40,T,2021-01-02 00:00:00,2
Asian                                        ,F,0,35,40,A,2015-11-06 00:00:00,1
Asian                                        ,F,0,35,40,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,36,40,T,2022-01-02 00:00:00,1
Asian                                        ,F,0,37,40,A,2021-08-20 00:00:00,1
Asian                                        ,F,0,37,40,A,2021-09-16 00:00:00,1
Asian                                        ,F,0,37,40,A,2022-01-20 00:00:00,1
Asian                                        ,F,0,37,40,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,38,40,T,2021-01-02 00:00:00,2
Asian                                        ,F,0,38,40,T,2021-03-18 00:00:00,1
Asian                                        ,F,0,40,40,A,2018-11-27 00:00:00,1
Asian                                        ,F,0,40,40,A,2018-11-27 00:00:00,3
Asian                                        ,F,0,41,50,A,2020-02-06 00:00:00,1
Asian                                        ,F,0,41,50,A,2020-02-06 00:00:00,4
Asian                                        ,F,0,42,50,A,2012-07-03 00:00:00,1
Asian                                        ,F,0,42,50,A,2012-07-03 00:00:00,3
Asian                                        ,F,0,42,50,T,2022-01-02 00:00:00,1
Asian                                        ,F,0,42,50,T,2022-01-02 00:00:00,2
Asian                                        ,F,0,43,50,A,2017-05-09 00:00:00,1
Asian                                        ,F,0,43,50,A,2017-05-09 00:00:00,2
Asian                                        ,F,0,43,50,A,2019-08-15 00:00:00,1
Asian                                        ,F,0,43,50,A,2019-08-15 00:00:00,1
Asian                                        ,F,0,43,50,A,2019-10-14 00:00:00,1
Asian                                        ,F,0,43,50,A,2019-10-14 00:00:00,1
Asian                                        ,F,0,43,50,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,43,50,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,45,50,A,2018-05-01 00:00:00,1
Asian                                        ,F,0,45,50,A,2018-05-01 00:00:00,1
Asian                                        ,F,0,45,50,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,45,50,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,47,50,A,2007-08-25 00:00:00,1
Asian                                        ,F,0,47,50,A,2007-08-25 00:00:00,1
Asian                                        ,F,0,47,50,A,2017-06-15 00:00:00,1
Asian                                        ,F,0,47,50,A,2017-06-15 00:00:00,1
Asian                                        ,F,0,47,50,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,47,50,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,48,50,A,2017-06-06 00:00:00,1
Asian                                        ,F,0,48,50,A,2017-06-06 00:00:00,1
Asian                                        ,F,0,49,50,A,2021-10-29 00:00:00,1
Asian                                        ,F,0,49,50,A,2021-10-29 00:00:00,1
Asian                                        ,F,0,49,50,T,2021-01-02 00:00:00,2
Asian                                        ,F,0,49,50,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,50,50,A,2021-04-13 00:00:00,1
Asian                                        ,F,0,51,60,A,2019-11-01 00:00:00,1
Asian                                        ,F,0,52,60,A,2009-12-21 00:00:00,1
Asian                                        ,F,0,53,60,A,2016-12-05 00:00:00,1
Asian                                        ,F,0,53,60,A,2020-09-10 00:00:00,1
Asian                                        ,F,0,53,60,A,2021-08-20 00:00:00,1
Asian                                        ,F,0,53,60,T,2021-03-18 00:00:00,1
Asian                                        ,F,0,54,60,A,2017-04-14 00:00:00,1
Asian                                        ,F,0,54,60,T,2022-01-02 00:00:00,1
Asian                                        ,F,0,55,60,A,2019-02-21 00:00:00,1
Asian                                        ,F,0,55,60,T,2020-11-04 00:00:00,1
Asian                                        ,F,0,55,60,T,2021-01-02 00:00:00,1
Asian                                        ,F,0,56,60,A,2016-09-09 00:00:00,1
Asian                                        ,F,0,56,60,T,2021-01-02 00:00:00,2
Asian                                        ,F,0,57,60,A,2010-08-19 00:00:00,1
Asian                                        ,F,0,57,60,A,2019-12-10 00:00:00,1
Asian                                        ,F,0,58,60,A,2021-04-29 00:00:00,1
Asian                                        ,F,0,58,60,A,2021-11-26 00:00:00,1
Asian                                        ,F,0,59,60,A,2019-04-26 00:00:00,1
Asian                                        ,F,0,61,70,A,2021-06-07 00:00:00,1
